AA010915,AA010915
UC_00126,UC_00126
AA032760,AA032760
AA013214,AA013214
AA011723,AA011723
AA012411,AA012411
AA019237,AA019237
AA019238,AA019238
AA019239,AA019239
AA019235,AA019235
AA019240,AA019240
AA019241,AA019241
AA019242,AA019242
AA019243,AA019243
AA019251,AA019251
AA019252,AA019252
AA012405,AA012405
AA012406,AA012406
AA012409,AA012409
AA012499,AA012499
AA012422,AA012422
AA012434,AA012434
AA012469,AA012469
AA012500,AA012500
AA032799,AA032799
AA032826,AA032826
AA010795,AA010795
AA010796,AA010796
AA032800,AA032800
AA032801,AA032801
AA032808,AA032808
AA032809,AA032809
AA032811,AA032811
AA032812,AA032812
AA032822,AA032822
AA032825,AA032825
AA010797,AA010797
AA010752,AA010752
AA010754,AA010754
AA010756,AA010756
AA010798,AA010798
AA010799,AA010799
AA010800,AA010800
AA010802,AA010802
AA010803,AA010803
AA010804,AA010804
AA010809,AA010809
AA010749,AA010749
AA010758,AA010758
AA010763,AA010763
AA010765,AA010765
AA010771,AA010771
AA010772,AA010772
AA010781,AA010781
AA032762,AA032762
AA032763,AA032763
AA032756,AA032756
AA032757,AA032757
AA032758,AA032758
AA032761,AA032761
AA032765,AA032765
AA010931,AA010931
AA010937,AA010937
AA010940,AA010940
AA032764,AA032764
AA032768,AA032768
AA010936,AA010936
AA010909,AA010909
AA010916,AA010916
AA010917,AA010917
AA010920,AA010920
AA010921,AA010921
AA020651,AA020651
AA020652,AA020652
AA020667,AA020667
AA020669,AA020669
AA020655,AA020655
AA020656,AA020656
AA020644,AA020644
AA020645,AA020645
AA020646,AA020646
AA020649,AA020649
AA013203,AA013203
AA013217,AA013217
AA013220,AA013220
AA013202,AA013202
AA013225,AA013225
AA018496,AA018496
AA018497,AA018497
AA018513,AA018513
AA013231,AA013231
AA013261,AA013261
AA013265,AA013265
AA013270,AA013270
AA018492,AA018492
AA018493,AA018493
AA018494,AA018494
AA018495,AA018495
AA018514,AA018514
AA018515,AA018515
AA018516,AA018516
UC_00125,UC_00125
UC_00126a,UC_00126
UC_00146,UC_00146
UC_00149,UC_00149
AA018640,AA018640
AA018658,AA018658
AA011729,AA011729
UC_00132,UC_00132
UC_00137,UC_00137
UC_00143,UC_00143
UC_00157,UC_00157
UC_00161,UC_00161
AA018637,AA018637
AA018638,AA018638
AA018639,AA018639
AA011731,AA011731
AA033576,AA033576
AA033577,AA033577
AA011732,AA011732
AA011737,AA011737
AA011741,AA011741
AA011744,AA011744
AA011745,AA011745
AA011746,AA011746
AA011749,AA011749
AA033575,AA033575
AA033578,AA033578
AA012411a,AA012411
AA033579,AA033579
AA033582,AA033582
AA033593,AA033593
AA033602,AA033602
AA033609,AA033609
AA033617,AA033617
AA010915a,AA010915
AA011723a,AA011723
AA019158,AA019158
AA020379,AA020379
UC_01044,UC_01044
AA018380,AA018380
AA018371,AA018371
AA004553,AA004553
AA000328,AA000328
AA000311,AA000311
AA019159,AA019159
AA020378,AA020378
UC_01060,UC_01060
AA018379,AA018379
AA018365,AA018365
AA004554,AA004554
AA000303,AA000303
AA000320,AA000320
AA019160,AA019160
AA020377,AA020377
UC_01053,UC_01053
AA018375,AA018375
AA004555,AA004555
AA000304,AA000304
AA019165,AA019165
AA019161,AA019161
AA020376,AA020376
UC_01062,UC_01062
AA018374,AA018374
AA04523,AA004523
AA000305,AA000305
AA019164,AA019164
AA020375,AA020375
AA018373,AA018373
AA032875,AA032875
AA000309,AA000309
AA019163,AA019163
AA020374,AA020374
AA018368,AA018368
AA032878,AA032878
AA000302,AA000302
AA019162,AA019162
AA020365,AA020365
UC_00150,UC_00150
AA018369,AA018369
AA004551,AA004551
AA032880,AA032880
AA000307,AA000307
AA019156,AA019156
AA020371,AA020371
UC_01051,UC_01051
AA018370,AA018370
AA004552,AA004552
AA032882,AA032882
AA000310,AA000310
AA019157,AA019157
AA019075,AA019075
AA004864,AA004864
AA019071,AA019071
AA004868,AA004868
AA019083,AA019083
AA019072,AA019072
AA004858,AA004858
AA004869,AA004869
AA019082,AA019082
AA019073,AA019073
AA004859,AA004859
AA004866,AA004866
AA019077,AA019077
AA004860,AA004860
AA019080,AA019080
AA004861,AA004861
AA019079,AA019079
AA004862,AA004862
AA019078,AA019078
AA004863,AA004863
UC_00267,UC_00267
UC_00205,UC_00205
UC_00206,UC_00206
UC_00208,UC_00208
UC_00243,UC_00243
UC_00209,UC_00209
UC_00254,UC_00254
UC_00210,UC_00210
UC_00259,UC_00259
UC_00126c,Delete
AA063718,AA063718
AA063720,AA063720
AA063722,AA063722
AA063726,AA063726
AA063732,AA063732
AA063708,AA063708
AA063710,AA063710
AA063712,AA063712
AA063714,AA063714
AA063716,AA063716
AA020735,AA020735
AA032442,AA032442
AA032441,AA032441
AA020749,AA020749
AA020746,AA020746
AA020744,AA020744
AA020743,AA020743
AA020739,AA020739
AA020738,AA020738
AA001451,AA001451
AA01452,AA001452
AA001454,AA001454
AA001455,AA001455
AA001446,AA001446
AA001456,AA001456
AA001447,AA001447
AA001448,AA001448
AA001449,AA001449
AA001450,AA001450
