id,pop,lat,lon,sex,maturity
AA018658,EmmacClarJack,-29.549,152.6646667,Male,Adult
AA011729,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
UC_00132,EmmacClarYate,-29.051253,152.5898,Female,Adult
UC_00137,EmmacClarYate,-29.051253,152.5898,Female,Adult
UC_00143,EmmacClarYate,-29.051253,152.5898,Female,Adult
UC_00157,EmmacClarYate,-29.051253,152.5898,Male,Adult
UC_00161,EmmacClarYate,-29.051253,152.5898,Male,Adult
AA018637,EmmacClarJack,-29.549,152.6646667,Female,Adult
AA018638,EmmacClarJack,-29.549,152.6646667,Male,Adult
AA018639,EmmacClarJack,-29.549,152.6646667,Male,Adult
AA011731,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA033576,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033577,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA011732,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011737,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011741,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011744,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011745,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011746,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA011749,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA033575,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033578,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA012411a,EmmacCoopEulb,-26.0456,141.8169,Male,Adult
AA033579,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033582,EmmacBrisWive,-27.4444,152.6246,Female,Adult
AA033593,EmmacBrisWive,-27.4444,152.6246,Male,Adult
AA033602,EmmacBrisWive,-27.4444,152.6246,Male,Adult
AA033609,EmmacBrisWive,-27.4444,152.6246,Male,SubAdult
AA033617,EmmacBrisWive,-27.4444,152.6246,Male,Adult
AA010915a,EmmacMDBForb,-33.382,148.001,Male,Adult
AA011723a,EmmacBurnBara,-26.30666667,151.98,Unknown,Unknown
AA019158,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA020379,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_01044,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA018380,EmmacTweeUki,-28.41666667,153.3333333,Male,SubAdult
AA018371,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA004553,EmmacMaryBoru,-26.525889,152.564997,Male,Adult
AA000328,EmmacRoss,-19.31638889,146.7513889,Male,Adult
AA000311,EmmacRoss,-19.31638889,146.7513889,Female,Adult
AA019159,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA020378,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_01060,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA018379,EmmacTweeUki,-28.41666667,153.3333333,Male,SubAdult
AA018365,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA004554,EmmacMaryBoru,-26.525889,152.564997,Male,Adult
AA000303,EmmacRoss,-19.31638889,146.7513889,Male,Adult
AA000320,EmmacRoss,-19.31638889,146.7513889,Female,Adult
AA019160,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA020377,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_01053,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA018375,EmmacTweeUki,-28.41666667,153.3333333,Male,Adult
AA004555,EmmacMaryBoru,-26.525889,152.564997,Male,Adult
AA000304,EmmacRoss,-19.31638889,146.7513889,Male,Adult
AA019165,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA019161,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA020376,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
UC_01062,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA018374,EmmacTweeUki,-28.41666667,153.3333333,Male,Adult
AA04523,EmmacMaryBoru,-26.525889,152.564997,Female,Adult
AA000305,EmmacRoss,-19.31638889,146.7513889,Male,Adult
AA019164,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA020375,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
AA018373,EmmacTweeUki,-28.41666667,153.3333333,Male,Adult
AA032875,EmmacMaryPetr,-25.7177,152.5755,Female,Adult
AA000309,EmmacRoss,-19.31638889,146.7513889,Male,Adult
AA019163,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA020374,EmmacNormJack,-14.87666667,144.4327778,Male,Adult
AA018368,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA032878,EmmacMaryPetr,-25.7177,152.5755,Female,SubAdult
AA000302,EmmacRoss,-19.31638889,146.7513889,Female,Adult
AA019162,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA020365,EmmacNormSalt,-14.782408,143.502336,Male,Adult
UC_00150,EmmacMaclGeor,-30.724008,152.193528,Female,Adult
AA018369,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA004551,EmmacMaryBoru,-26.525889,152.564997,Male,Adult
AA032880,EmmacMaryPetr,-25.7177,152.5755,Female,Adult
AA000307,EmmacRoss,-19.31638889,146.7513889,Female,Adult
AA019156,EmmacRussEube,-17.40886667,145.9819833,Male,Adult
AA020371,EmmacNormLeic,-15.25861111,144.6127778,Male,Adult
UC_01051,EmmacMaclGeor,-30.724008,152.193528,Unknown,Unknown
AA018370,EmmacTweeUki,-28.41666667,153.3333333,Female,Adult
AA004552,EmmacMaryBoru,-26.525889,152.564997,Male,Adult
AA032882,EmmacMaryPetr,-25.7177,152.5755,Female,Adult
AA000310,EmmacRoss,-19.31638889,146.7513889,Female,Adult
AA019157,EmmacRussEube,-17.40886667,145.9819833,Female,Adult
AA019075,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004864,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
AA019071,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004868,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA019083,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA019072,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004858,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
AA004869,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA019082,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA019073,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004859,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA004866,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA019077,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA004860,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
AA019080,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA004861,EmmacFitzAllig,-23.16568333,150.38575,Female,Adult
AA019079,EmmacJohnWari,-17.5167,146.02355,Male,Adult
AA004862,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
AA019078,EmmacJohnWari,-17.5167,146.02355,Female,Adult
AA004863,EmmacFitzAllig,-23.16568333,150.38575,Male,Adult
UC_00267,EmvicVictJasp,-16.031181,130.697404,Female,Adult
UC_00205,EmsubRopeMata,-14.925118,133.134897,Male,Adult
UC_00206,EmsubRopeMata,-14.925118,133.134897,Female,SubAdult
UC_00208,EmsubRopeMata,-14.925118,133.134897,Male,Adult
UC_00243,EmvicVictJasp,-16.031181,130.697404,Male,Adult
UC_00209,EmsubRopeMata,-14.925118,133.134897,Male,Adult
UC_00254,EmvicVictJasp,-16.031181,130.697404,Male,Adult
UC_00210,EmsubRopeMata,-14.925118,133.134897,Female,Adult
UC_00259,EmvicVictJasp,-16.031181,130.697404,Female,Adult
UC_00126c,EmvicVictJasp,-16.031181,130.697404,Female,Adult
AA063718,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA063720,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA063722,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA063726,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA063732,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA063708,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA063710,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA063712,EmmacCoopAvin,-24.088505,144.978999,Female,Adult
AA063714,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA063716,EmmacCoopAvin,-24.088505,144.978999,Male,Adult
AA020735,EmmacMDBGwyd,-29.8595,150.5812,Male,Adult
AA032442,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA032441,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA020749,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA020746,EmmacMDBGwyd,-29.8595,150.5812,Male,SubAdult
AA020744,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA020743,EmmacMDBGwyd,-29.8595,150.5812,Female,Adult
AA020739,EmmacMDBGwyd,-29.8595,150.5812,Male,Adult
AA020738,EmmacMDBGwyd,-29.8595,150.5812,Male,Adult
AA001451,EmmacCoopCully,-27.700626,140.843321,Male,Adult
AA01452,EmmacCoopCully,-27.700626,140.843321,Male,Adult
AA001454,EmmacCoopCully,-27.700626,140.843321,Female,Adult
AA001455,EmmacCoopCully,-27.700626,140.843321,Female,SubAdult
AA001446,EmmacCoopCully,-27.700626,140.843321,Female,Adult
AA001456,EmmacCoopCully,-27.700626,140.843321,Female,Adult
AA001447,EmmacCoopCully,-27.700626,140.843321,Male,Adult
AA001448,EmmacCoopCully,-27.700626,140.843321,Male,Adult
AA001449,EmmacCoopCully,-27.700626,140.843321,Female,Adult
AA001450,EmmacCoopCully,-27.700626,140.843321,Male,Adult
